request_id,requester_role,clearance_level,device_managed,device_posture_score,mfa_passed,source_zone,target_zone,target_sensitivity,access_type,off_hours,change_ticket
REQ-000001,engineer,1,0,92,1,vpn,ot_network,2,read,0,1
REQ-000002,admin,3,1,66,1,vpn,ot_network,1,write,0,1
REQ-000003,engineer,3,1,92,1,vpn,restricted,4,read,0,0
REQ-000004,analyst,3,1,56,0,corporate,corporate,3,read,0,0
REQ-000005,admin,2,1,64,1,corporate,corporate,1,read,0,0
REQ-000006,engineer,2,1,64,1,corporate,corporate,2,write,0,0
REQ-000007,engineer,4,1,93,0,corporate,corporate,2,write,0,1
REQ-000008,admin,4,0,61,0,corporate,corporate,1,write,0,0
REQ-000009,analyst,3,0,64,0,guest,corporate,3,read,0,0
REQ-000010,contractor,4,1,60,1,guest,corporate,1,admin,0,0
REQ-000011,admin,4,1,67,1,guest,corporate,3,write,0,1
REQ-000012,admin,2,1,74,1,corporate,ot_network,2,read,0,0
REQ-000013,engineer,3,0,89,1,corporate,corporate,1,read,0,0
REQ-000014,analyst,1,1,75,1,vpn,restricted,1,read,0,0
REQ-000015,admin,2,1,64,0,corporate,corporate,4,read,0,0
REQ-000016,admin,2,1,92,1,corporate,corporate,1,write,1,0
REQ-000017,admin,2,1,98,0,corporate,corporate,1,write,1,0
REQ-000018,analyst,3,0,84,0,corporate,restricted,2,read,0,0
REQ-000019,admin,1,1,92,1,corporate,ot_network,1,write,0,0
REQ-000020,contractor,3,1,72,1,vpn,corporate,2,read,0,0
REQ-000021,engineer,4,1,63,0,corporate,corporate,1,write,1,1
REQ-000022,contractor,3,1,59,0,guest,corporate,1,read,0,0
REQ-000023,engineer,3,1,91,1,corporate,corporate,1,write,0,0
REQ-000024,engineer,2,0,70,1,guest,ot_network,2,write,0,1
REQ-000025,admin,1,1,78,1,vpn,ot_network,1,admin,0,1
REQ-000026,contractor,4,1,79,1,guest,corporate,3,read,0,0
REQ-000027,admin,3,1,99,0,corporate,corporate,2,write,0,1
REQ-000028,analyst,4,1,90,1,corporate,corporate,1,read,0,0
REQ-000029,admin,2,1,73,1,vpn,corporate,4,read,1,1
REQ-000030,engineer,4,1,92,1,corporate,ot_network,1,read,0,1
REQ-000031,analyst,4,0,89,1,corporate,restricted,1,read,0,0
REQ-000032,admin,3,1,92,1,corporate,corporate,3,read,0,0
REQ-000033,admin,4,1,85,1,corporate,restricted,3,read,0,1
REQ-000034,contractor,3,1,90,0,vpn,restricted,1,write,0,0
REQ-000035,engineer,3,0,60,1,corporate,ot_network,4,admin,1,1
REQ-000036,analyst,4,1,61,1,vpn,ot_network,1,read,0,1
REQ-000037,analyst,2,1,73,1,guest,corporate,2,admin,0,0
REQ-000038,analyst,3,1,81,1,corporate,restricted,1,read,0,1
REQ-000039,analyst,4,1,65,0,corporate,restricted,2,read,0,0
REQ-000040,admin,4,1,80,1,vpn,corporate,2,write,1,1
REQ-000041,admin,2,1,70,1,vpn,restricted,3,read,0,0
REQ-000042,contractor,4,1,87,1,corporate,ot_network,3,read,0,0
REQ-000043,contractor,3,1,82,0,corporate,corporate,2,admin,1,0
REQ-000044,engineer,2,1,95,0,vpn,corporate,1,read,0,1
REQ-000045,analyst,2,1,81,1,corporate,corporate,1,read,1,1
REQ-000046,contractor,4,1,55,1,corporate,corporate,1,read,0,0
REQ-000047,admin,2,1,56,1,vpn,corporate,2,admin,0,0
