date,bei_10_0y,boe_bank_rate,boe_sonia,ons_cpi_yoy,oil,gbpusd,uk_unemployment,uk_business_confidence
1997-01-31,3.9875,5.9375,6.19,2.1,25.13,1.6585,7.5,-2.9981
1997-02-28,3.9034,5.9375,5.79,1.9,22.18,1.6256,7.3,-3.1509
1997-03-31,4.0716,5.9375,6.0282,1.7,20.97,1.6096,7.2,0.7373
1997-04-30,3.915,5.9375,6.2641,1.6,19.7,1.6293,7.2,-0.6917
1997-05-31,3.4775,6.25,6.3054,1.6,20.82,1.6322,7.2,-3.5621
1997-06-30,3.3577,6.5,6.9709,1.7,19.26,1.6449,7.3,-4.8543
1997-07-31,3.2644,6.75,6.2704,2.0,19.66,1.6694,7.1,0.2933
1997-08-31,3.3741,7.0,7.0956,2.0,19.95,1.6035,6.8,-1.8053
1997-09-30,2.9977,7.0,7.1888,1.8,19.8,1.6013,6.7,-0.533
1997-10-31,3.2852,7.0,7.4305,1.9,21.33,1.633,6.6,4.2472
1997-11-30,3.1739,7.25,7.4412,1.9,20.19,1.6889,6.5,0.5931
1997-12-31,3.0887,7.25,7.2275,1.7,18.33,1.6597,6.4,1.3981
1998-01-31,2.8005,7.25,7.2385,1.5,16.72,1.635,6.4,-3.3593
1998-02-28,2.9247,7.25,7.3308,1.6,16.06,1.6408,6.4,-1.8204
1998-03-31,2.8147,7.25,7.4277,1.7,15.12,1.6619,6.3,-4.5691
1998-04-30,2.8055,7.25,8.6068,1.8,15.35,1.6723,6.3,-7.3461
1998-05-31,2.7614,7.25,7.6161,2.0,14.91,1.6382,6.3,-12.8748
1998-06-30,2.7693,7.5,7.421,1.7,13.72,1.6504,6.3,-16.202
1998-07-31,2.8318,7.5,7.6446,1.4,14.17,1.6437,6.3,-16.071
1998-08-31,2.6611,7.5,6.764,1.3,13.47,1.6342,6.2,-23.1578
1998-09-30,2.1578,7.5,7.4695,1.4,15.03,1.6823,6.2,-23.2205
1998-10-31,2.4338,7.25,6.8801,1.4,14.46,1.6944,6.2,-30.7256
1998-11-30,2.2386,6.75,6.9998,1.4,13.0,1.6611,6.1,-32.0508
1998-12-31,2.3144,6.25,5.274,1.6,11.35,1.6708,6.2,-22.9284
1999-01-31,2.2103,6.0,6.9125,1.6,12.52,1.6498,6.2,-25.3824
1999-02-28,2.6634,5.5,6.1965,1.4,12.01,1.6276,6.2,-24.8167
1999-03-31,2.7786,5.5,6.3772,1.7,14.68,1.6213,6.2,-22.8668
1999-04-30,2.7788,5.25,5.3376,1.5,17.31,1.6089,6.1,-17.6606
1999-05-31,3.0436,5.25,5.488,1.3,17.72,1.6154,6.0,-5.5182
1999-06-30,3.184,5.0,5.582,1.3,17.92,1.595,6.0,-11.5518
1999-07-31,3.3532,5.0,5.4054,1.3,20.1,1.5751,5.9,-15.7721
1999-08-31,2.8512,5.0,4.7368,1.2,21.28,1.6058,5.9,-6.8504
1999-09-30,3.3583,5.25,5.565,1.2,23.8,1.6247,5.8,-1.5796
1999-10-31,3.1913,5.25,5.1776,1.1,22.69,1.6572,5.8,-2.708
1999-11-30,3.1041,5.5,6.0847,1.2,25.0,1.6205,5.8,-4.3763
1999-12-31,3.4232,5.5,3.0423,1.1,26.1,1.6132,5.9,-2.2567
2000-01-31,3.3325,5.75,6.606,0.8,27.26,1.6404,5.8,-2.7447
2000-02-29,3.2001,6.0,6.0053,0.9,29.37,1.6,5.8,-5.1513
2000-03-31,3.0165,6.0,5.7179,0.6,29.84,1.5799,5.7,-6.1682
2000-04-30,3.005,6.0,5.8485,0.6,25.72,1.5823,5.6,-10.9748
2000-05-31,2.8483,6.0,5.9768,0.5,28.79,1.509,5.5,-9.8151
2000-06-30,3.0144,6.0,5.2592,0.8,31.82,1.5092,5.3,-12.8998
2000-07-31,2.9024,6.0,5.8457,0.9,29.7,1.5076,5.3,-8.8085
2000-08-31,2.9821,6.0,5.6946,0.6,31.26,1.4889,5.3,-11.2055
2000-09-30,2.8329,6.0,6.1806,1.0,33.88,1.4336,5.4,-7.2611
2000-10-31,2.7215,6.0,5.9876,1.0,33.11,1.4506,5.3,-5.0164
2000-11-30,2.5931,6.0,6.3055,1.1,34.42,1.4258,5.2,-7.0342
2000-12-31,2.542,6.0,4.3589,0.8,28.44,1.4629,5.2,0.7585
2001-01-31,2.4561,6.0,6.3133,0.9,29.59,1.4775,5.2,-0.7681
2001-02-28,2.4798,5.75,6.3192,0.8,29.61,1.4525,5.1,-10.4872
