growth_vs_trend,infl_vs_trend
-1.068,2.105
-0.953,2.477
-0.958,2.493
-2.02,2.156
-3.427,1.782
-4.535,1.56
-4.129,1.104
-1.662,0.395
1.718,-0.536
4.805,-1.384
5.698,-1.767
4.336,-1.621
2.653,-1.141
0.971,-0.666
0.234,-0.561
-1.113,-0.373
-2.082,-0.333
-2.564,-0.314
-2.12,-0.189
-0.072,-0.319
1.717,-0.312
2.914,-0.262
2.866,-0.205
1.874,-0.014
0.895,-0.018
0.163,-0.023
0.256,0.072
0.543,0.062
0.965,0.31
0.982,0.291
0.713,0.229
0.196,0.058
-0.016,-0.109
0.153,-0.029
0.628,0.136
1.527,0.304
2.206,0.431
2.234,0.704
1.156,0.95
-0.286,1.415
-1.731,1.377
-2.658,1.163
-2.979,0.753
-2.819,0.432
-2.225,0.64
-1.181,0.793
-0.215,1.212
0.285,1.349
0.173,1.368
-0.252,1.476
-0.602,1.483
-1.133,1.607
-1.82,1.611
-2.54,1.585
-2.876,1.341
-2.827,0.904
-1.806,0.436
-0.734,-0.217
0.487,-0.686
1.192,-1.153
1.423,-1.383
2.155,-1.553
2.392,-1.671
3.268,-1.503
3.635,-1.245
3.442,-0.303
2.242,0.642
0.655,2.066
-1.419,3.311
-3.046,4.402
-4.346,5.079
-4.84,5.239
-5.1,5.142
-4.97,4.046
-3.571,2.672
-1.508,0.811
1.442,-0.746
3.397,-2.198
4.236,-2.99
3.613,-3.337
2.546,-3.355
2.172,-2.609
2.278,-1.863
2.373,-1.092
1.706,-0.714
1.218,-0.379
0.774,0.357
1.166,1.179
1.062,2.039
0.173,2.722
-1.092,3.199
-2.581,3.663
-2.787,4.203
-3.562,4.613
-4.13,4.34
-4.126,3.362
-2.918,1.939
-1.091,0.521
0.546,-0.422
0.707,-1.153
-0.597,-1.874
-1.884,-3.16
-2.688,-4.128
-2.124,-4.764
-1.097,-5.122
0.808,-5.202
2.884,-5.217
4.503,-4.667
5.654,-3.788
5.853,-2.418
5.115,-1.356
3.785,-0.862
2.26,-0.727
0.751,-0.587
-0.194,-0.554
-0.795,-0.431
-1.062,-0.172
-1.492,-0.685
-1.861,-1.128
-2.075,-1.811
-2.03,-1.753
-1.522,-0.944
-1.01,-0.042
-0.162,0.988
0.274,1.129
0.699,1.12
0.593,0.998
0.436,0.984
0.388,1.086
0.244,1.249
0.252,1.312
-0.29,1.073
-0.62,0.843
-1.09,0.507
-1.363,0.424
-1.926,0.708
-2.753,0.897
-3.117,0.773
-2.949,0.031
-1.912,-0.892
-0.546,-1.521
0.674,-1.776
1.571,-1.518
2.056,-1.175
2.053,-1.008
1.697,-0.875
0.958,-0.867
0.638,-0.836
0.653,-0.827
0.99,-0.73
1.189,-0.545
1.079,-0.371
0.609,-0.154
-0.114,-0.01
-0.564,0.069
-0.881,0.052
-0.707,-0.022
-0.216,0.015
0.338,0.083
0.812,0.172
0.793,0.215
0.802,0.038
0.851,-0.264
0.885,-0.554
1.009,-0.758
0.72,-0.905
0.468,-0.906
0.316,-0.843
0.381,-0.67
0.431,-0.41
0.298,-0.124
0.249,0.225
0.054,0.437
0.171,0.731
-0.117,1.027
-0.519,1.152
-1.397,1.252
-2.186,0.98
-2.731,0.602
-3.091,-0.023
-2.649,-0.729
-2.049,-1.075
-1.124,-1.246
-0.659,-0.918
-0.318,-0.512
-0.142,-0.236
0.454,-0.16
1.401,-0.293
2.119,-0.213
2.263,-0.022
1.762,0.344
1.17,0.722
0.82,0.825
0.638,0.842
0.499,0.663
0.06,1.008
-0.181,1.083
-0.438,1.126
-0.7,0.912
-0.849,-0.038
-1.166,-0.592
-1.11,-1.088
-1.027,-0.776
-0.713,-0.267
-0.758,0.266
-0.923,0.727
-1.325,1.233
-2.332,0.98
-3.448,-0.295
-4.338,-2.071
-4.011,-3.568
-2.483,-3.275
-0.358,-2.01
1.696,-0.581
2.717,-0.037
2.988,-0.415
2.633,-0.417
2.054,0.324
1.396,1.277
1.088,1.966
1.091,1.916
1.124,1.32
0.969,0.359
0.231,-0.164
-0.201,-0.495
-0.552,-0.598
-0.253,-0.648
0.246,-0.894
0.324,-0.757
0.453,-0.673
0.396,-0.229
0.624,-0.084
0.923,-0.645
0.903,-1.129
0.766,-1.401
0.113,-1.126
-0.397,-0.577
-0.732,-0.193
-0.827,0.093
-0.662,0.247
-0.441,0.672
-0.246,1.055
-0.154,1.044
0.168,0.872
0.528,0.793
0.833,0.892
0.876,0.959
0.455,0.863
-0.022,0.39
-0.343,0.01
-0.171,-0.269
0.22,-0.238
-0.114,-0.069
-3.254,-0.525
-4.431,-0.701
-4.708,-1.064
-1.385,-0.646
3.097,0.396
4.856,1.644
5.765,3.047
2.765,3.85
1.701,4.4
0.514,4.617
-0.329,4.159
-0.334,3.068
-0.439,1.498
-0.238,-0.288
-0.408,-1.562
-0.662,-2.35
-0.59,-2.408
-0.496,-2.474
-0.235,-2.457
-0.389,-2.287
-0.467,-2.1
-0.421,-1.596
-0.227,-1.324
