path_reaction_gap,inflation_anchor_gap
-0.6997,-0.2598
-0.7093,-0.3523
-0.0066,-0.7659
1.2726,-0.4895
1.6475,-0.1666
2.794,-0.2391
2.854,-0.2719
2.8822,-0.3179
3.7414,-0.1964
3.0137,0.0841
2.2136,0.0993
0.9104,0.3119
-0.0775,0.1925
0.5522,0.3486
-0.0126,0.4752
-0.4379,0.4713
-0.2901,0.0047
-0.1427,-0.0795
0.0009,-0.3056
-0.1498,-0.4359
-0.0075,-0.2786
-0.17,-0.127
-0.283,-0.102
-0.6925,0.124
-0.9879,0.228
-1.4477,0.3403
-0.925,0.2742
-1.8175,0.2566
-1.8521,0.2131
-1.4052,0.2677
-1.7172,0.2227
-1.9334,-0.1101
-2.9133,-0.2555
-2.4852,-0.3243
-2.3148,-0.2323
-1.5576,-0.3008
-0.6546,-0.3115
-0.368,-0.0702
-0.5008,-0.1178
0.1901,-0.22
0.2377,-0.582
0.7813,-0.5757
0.1968,-0.6962
0.3072,-0.5703
0.8261,-0.7212
0.1239,-0.5622
0.1418,-0.5047
0.1346,-0.383
0.3848,0.1325
-0.1036,0.2481
-0.0901,0.2746
0.4342,0.0237
0.0939,0.1135
-0.1976,-0.0332
-0.1123,0.0916
0.0735,0.1798
-0.0964,0.0789
0.4379,0.1437
0.5976,0.1973
0.8633,0.2661
0.7499,0.07
0.8897,0.1127
1.0178,0.1678
0.5548,0.1762
0.9225,0.0932
0.3516,0.1025
0.7142,0.062
0.719,0.0463
1.1035,-0.0294
0.7868,-0.0912
0.879,-0.1197
1.5271,-0.1936
1.7102,-0.5253
2.2322,-0.2844
2.1123,-0.2387
2.4652,-0.0525
2.1439,-0.0982
2.3092,0.003
2.0824,-0.0909
2.0577,-0.2201
2.0092,-0.3128
1.9497,-0.2541
1.6133,-0.2199
1.6045,-0.3199
1.1114,-0.3943
1.003,-0.5816
0.681,-0.3819
0.9651,-0.3598
0.9519,-0.4409
0.256,-0.4139
0.2192,-0.4847
0.0047,-0.2018
-0.5872,-0.1017
-0.3055,0.3297
-0.8059,0.2486
-1.4373,0.2911
-1.7237,0.458
-2.5998,0.1464
-2.6151,0.2038
-3.3547,0.1783
-3.649,0.095
-3.1116,0.1224
-3.1834,0.049
-3.692,0.1004
-3.6329,0.1525
-3.5018,0.1466
-3.5214,0.1259
-3.5371,0.1294
-3.4742,0.2121
-2.9628,0.1713
-2.6694,0.1632
-2.6107,0.1543
-2.8852,0.1401
-2.8052,0.1441
-2.8629,0.1651
-3.0635,0.1396
-2.5513,0.273
-2.6873,0.2609
-2.5518,0.3215
-2.3788,0.2943
-1.8656,0.2446
-2.1776,0.2216
-2.3536,0.3622
-2.5164,0.3734
-2.4262,0.3905
-2.465,0.3134
-2.784,0.4304
-2.2072,0.3896
-2.3025,0.4387
-1.8965,0.1318
-1.9724,0.1549
-1.4322,0.2142
-2.3181,0.1218
-2.0826,0.0666
-2.0076,-0.0238
-1.0088,-0.1451
-0.6588,0.105
-0.5246,0.1226
-0.957,0.1884
0.6739,0.339
0.3965,0.2688
0.11,0.3314
0.8431,0.2805
0.2524,0.2126
-0.0866,0.3053
0.416,0.468
-0.1345,0.6403
-1.3066,0.5686
-2.3083,0.6282
-2.9563,0.4865
-2.2836,0.5958
-4.128,0.6508
-3.8382,0.8404
-5.0734,0.9829
-6.5759,1.154
-7.0041,0.8656
-7.0155,1.0965
-7.9491,1.2552
-8.7232,1.2718
-11.5943,1.2521
-11.5161,0.9965
-11.8926,0.5067
-13.0809,0.5735
-11.298,0.9571
-10.0165,0.9094
-12.2592,0.4154
-11.8444,0.4985
-11.4442,0.3267
-11.1506,0.2156
-11.0689,0.366
-11.0372,0.5156
-8.6012,0.3235
-7.8628,0.4144
-5.6963,0.5337
-4.3696,0.4943
-4.5436,0.526
-4.9917,0.6338
-1.9965,0.5588
-1.2661,0.4658
-1.9375,0.3741
-1.6378,0.394
-0.2823,0.4992
-0.0697,0.5691
1.6437,0.682
1.8438,0.6882
1.6367,0.5195
1.0059,0.4658
1.0478,0.3943
1.593,0.4044
1.1536,0.57
0.5623,0.4789
0.859,0.4833
-0.0782,0.5763
0.2632,0.4301
0.7027,0.448
-0.9935,0.261
-0.6086,0.1992
-1.1214,0.0798
-1.2698,0.1644
-0.9982,0.1334
-0.8732,0.1058
-0.8136,-0.081
-0.1312,-0.016
-0.4459,-0.045
-0.1074,0.1624
-0.1905,0.0927
